,Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
0,1,Помидор,3688,178,Овощи,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2013-01-20,2013-02-02,2.84,Pending
1,2,Чеддер,8664,784,Молочные продукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2022-01-03,2023-09-08,0.22,Delivered
2,3,Буузы,3769,518,Мясо,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1996-02-02,2015-11-01,1.94,Returned
3,4,Вареники с мясом,3899,576,Мясо,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1993-06-07,2005-01-05,3.37,In Stock
4,5,Робот-пылесос,8999,600,Товары для дома,Может использоваться в детском питании начиная с раннего возраста.,2020-10-01,2021-03-12,1.37,Out of Stock
5,6,Тушенка,2955,355,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1993-01-05,2019-03-26,4.88,Available for Pickup
6,7,Пажитник сушеный,1453,303,Бакалея,Является важным компонентом сбалансированного рациона питания.,1997-03-08,1999-04-17,2.45,Awaiting Payment
7,8,Базилик сушеный,9677,911,Бакалея,Помогает поддерживать нормальный уровень сахара в крови.,2006-02-05,2017-01-04,0.75,In Stock
8,9,Хурма,8181,344,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2008-07-19,2026-08-16,0.8,On Backorder
9,10,Персик,6595,508,Фрукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,1990-02-08,2017-05-12,3.06,In Stock
10,11,Зубная паста,4252,108,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2020-02-10,2030-02-17,3.14,In Stock
11,12,Варенец,7108,614,Молочные продукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2017-05-05,2028-06-03,4.95,Backorder
12,13,Южно-Сахалинская,132,629,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1993-04-18,2027-04-15,0.07,In Stock
13,14,Кольраби,4219,543,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2007-04-21,2020-09-01,4.22,On Backorder
14,15,Мандарин,6029,520,Фрукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2005-01-01,2010-03-07,1.64,Temporarily Unavailable
15,16,Задняя часть,815,261,Мясо,Отличается способностью повышать общий тонус и работоспособность.,2003-01-01,2006-03-06,0.27,Delivered
16,17,Пакеты для Дня Победы,4672,12,Товары для дома,Помогает поддерживать нормальный уровень глюкозы в крови.,2022-02-12,2024-01-03,0.58,In Stock
17,18,Помело,7830,746,Фрукты,Является важным элементом спортивного питания для восстановления после тренировок.,1991-07-05,1998-03-02,0.85,Cancelled
18,19,Пакеты для хранения одежды,5351,808,Товары для дома,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2018-03-07,2021-01-14,1.06,Sold
19,20,Каша из дробленного риса,2198,75,Бакалея,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1990-01-01,2002-01-05,0.79,Available for Pickup
20,21,Подсолнечник семена,1213,806,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2015-07-02,2021-05-10,2.16,Out of Stock
21,22,Якутская,3124,263,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,1990-01-04,2026-01-21,1.94,Refunded
22,23,Орегано сушеный,4016,353,Бакалея,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1993-08-02,2028-10-07,1.8,Delivered
23,24,Помело,4569,958,Фрукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2002-04-04,2012-05-06,2.28,Shipping
24,25,Голландский сыр,225,588,Молочные продукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2003-06-17,2008-01-02,4.86,In Stock
25,26,Red Bull,5846,625,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-03-11,1996-05-09,2.33,Cancelled
26,27,Роллы с мясом,4662,635,Мясо,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2003-02-11,2006-05-03,2.43,Backorder
27,28,Марциальная вода,3522,693,Напитки,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2010-03-01,2027-01-02,1.77,Sold
28,29,Батат,7603,726,Овощи,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1999-06-01,2019-01-01,4.24,On Backorder
29,30,"Экзотические виды мяса (например, страус, кенгуру)",796,812,Мясо,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1999-03-14,2030-01-01,0.25,In Stock
30,31,Манго,1771,277,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2018-02-14,2029-01-21,0.24,Shipping
31,32,Простокваша,2517,362,Молочные продукты,Является неотъемлемой частью рациона многих народов мира.,2014-01-15,2023-01-19,3.31,Pending
