product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Мед,1778,501,Бакалея,"Подходит для использования в диетах, направленных на снижение веса.",2021-03-15,2030-04-03,0.29,Shipping
2,Манго,5123,576,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2004-01-12,2007-02-18,4.8,On Backorder
3,Буженина,8136,83,Мясо,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1999-02-08,2025-03-04,1.15,New
4,Тан,8412,694,Молочные продукты,Часто рекомендуется врачами-диетологами как часть здорового питания.,1997-05-18,2028-02-20,2.77,Out of Stock
5,Редис,1703,924,Овощи,Помогает поддерживать нормальный уровень артериального давления.,2013-09-20,2026-02-26,3.92,Available for Pickup
6,Томская,4750,487,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2019-03-12,2023-01-02,4.37,In Stock
7,Каймак,6981,146,Молочные продукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2002-01-02,2016-04-05,4.74,Cancelled
8,Тан,2047,827,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",1999-06-05,2030-01-13,2.75,Backorder
9,Хурма,910,506,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2018-07-09,2028-03-03,2.59,Available for Pickup
10,Брюква,3695,12,Овощи,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",1994-05-01,2008-06-22,0.54,New
11,Ананас,9300,41,Фрукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2014-03-03,2017-03-06,2.32,Pending
12,Бастурма,1360,35,Мясо,"Подходит для приготовления как горячих, так и холодных блюд.",1998-01-08,2003-01-15,2.7,Refunded
13,Рамбутан,3478,281,Фрукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1992-03-16,2001-02-02,1.63,Pending
14,Подносы,8505,812,Товары для дома,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2017-01-01,2027-02-19,0.89,On Backorder
15,Фольга алюминиевая,8246,252,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2017-05-01,2024-02-04,2.18,Returned
16,Коломенская,5766,999,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2018-01-03,2019-01-19,3.19,Shipping
17,Дыня,3160,794,Фрукты,Может использоваться в детском питании начиная с раннего возраста.,2012-01-02,2020-08-07,2.23,Refunded
18,Матрасы,3280,473,Товары для дома,Может использоваться в вегетарианской диете как источник белка.,1999-08-10,2018-02-08,2.64,On Backorder
19,Индюшатина,7427,434,Мясо,Помогает поддерживать нормальный уровень артериального давления.,2016-02-02,2025-02-11,0.77,Out of Stock
20,Полба,1939,717,Бакалея,Служит основой для создания множества кулинарных шедевров.,2020-02-11,2029-02-13,0.34,Cancelled
21,Зубная паста,6830,722,Товары для дома,Помогает поддерживать нормальный уровень триглицеридов в крови.,2001-09-13,2029-05-02,4.73,Temporarily Unavailable
22,Творог,4505,444,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2007-08-09,2009-04-03,4.85,Delivered
23,Наборы столовых приборов,4426,711,Товары для дома,Помогает поддерживать нормальный уровень тестостерона у мужчин.,1992-04-07,2000-10-17,2.25,Available for Pickup
24,Конопляные семена,7550,798,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2008-01-03,2030-01-16,4.54,On Backorder
25,Мацеста,8027,2,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2003-03-04,2016-04-08,0.72,Returned
26,Помидор,1809,486,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2015-07-08,2016-05-16,1.98,Refunded
27,Доктор Пеппер,9854,23,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1994-07-07,2023-01-02,4.35,On Backorder
28,Пакеты для Всемирного дня книг,431,978,Товары для дома,"Отличается длительным сроком годности, что позволяет делать запасы.",2011-02-02,2016-02-09,2.31,Backorder
29,Блендер,1045,740,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2000-06-02,2009-04-03,2.24,Delivered
30,"Экзотические виды мяса (например, страус, кенгуру)",8796,813,Мясо,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2008-04-05,2015-01-15,1.78,Returned
31,Пакеты для пикников,2563,577,Товары для дома,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1995-05-06,2026-01-06,1.06,Cancelled
32,Солонина,7473,618,Мясо,Идеален для перекусов между основными приемами пищи.,1996-01-10,1997-02-06,3.12,Awaiting Payment
33,Творог,7338,454,Молочные продукты,Помогает поддерживать оптимальный вес и форму тела.,1990-11-10,1999-07-17,1.23,New
34,Амарант крупа,2092,936,Бакалея,Подходит для использования в качестве основы для смузи и коктейлей.,1996-01-03,1996-05-11,1.55,Delivered
35,Каша из дробленной перловой крупы,9119,375,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1990-02-09,2020-01-26,2.61,Returned
36,Стаканы,9788,633,Товары для дома,"Является источником антиоксидантов, замедляющих процессы старения.",2002-02-02,2022-05-12,3.27,In Stock
37,Каша из дробленного риса,1163,124,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1992-05-01,2007-02-01,3.01,Temporarily Unavailable
38,Козлятина,116,754,Мясо,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1992-04-10,2028-01-07,4.31,Awaiting Payment
39,Камут,2573,704,Бакалея,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",1992-02-02,2014-02-18,1.08,Backorder
40,Ливерная колбаса,1966,799,Мясо,Помогает поддерживать нормальный уровень гормонов в организме.,2022-03-01,2026-02-04,1.89,Sold
41,Фета,2135,386,Молочные продукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2004-01-18,2020-03-01,3.51,Shipping
42,Стиральный порошок,8639,764,Товары для дома,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2021-02-20,2026-06-07,3.17,Awaiting Review
